Name,Date,Average,Retail,Search,White sold,White price,Black sold,Black price,Red sold,Red price,Navy sold,Navy price,Grey sold,Grey price
Bottle Cap Tee,8/16/2018,25.43776824,36,supreme-Bottle-Cap-Tee-black,29,28,75,33,24,16,16,27,33,19
Cutouts Tee,8/16/2018,28.09615385,36,supreme-Cutouts-Tee-black,24,20,61,39,14,18,17,24,17,9
Life Sucks Die Tee,8/16/2018,23.87640449,36,supreme-Life-Sucks-Die-Tee-black,21,25,51,28,23,19,13,16,24,18
Bedroom Tee,8/16/2018,26.63235294,36,supreme-Bedroom-Tee-black,26,28,33,23,12,23,12,23,8,14
Fuck You Tee,8/16/2018,24.7755102,36,supreme-Fuck-You-Tee-black,37,27,74,27,11,22,13,21,,
Guts Tee,8/16/2018,18.00584795,36,supreme-Guts-Tee-black,36,21,50,20,21,11,18,15,,
Mike Kelley/Supreme The Empire State Building Tee,9/6/2018,7.635057471,48,supreme-mike-kelley-supreme-the-empire-state-building-tee-black,56,18,63,22,,,,,,
Mike Kelley/Supreme Ahh…Youth! Tee,9/6/2018,49.37953795,48,supreme-mike-kelley-supreme-ahhyouth-tee-black,62,60,82,78,,,,,,
Mike Kelley/Supreme Ahh…Youth! L/S Tee,9/6/2018,71.49473684,58,supreme-mike-kelley-supreme-ahhyouth-l-s-tee-black,25,76,73,108,,,,,,
Mike Kelley/Supreme Hiding From Indians Tee,9/6/2018,7.742857143,48,supreme-mike-kelley-supreme-hiding-from-indians-tee-black,13,10,29,11,,,,,,
Supreme®/Comme des Garçons SHIRT® Split Box Logo Tee,9/13/2018,239.7096774,54,supreme-comme-des-garcons-shirt-split-box-logo-tee-black,798,225,504,263,,,,,,
Group Tee,9/20/2018,42.03641882,36,supreme-Group-Tee-black,101,46,232,51,46,40,39,39,68,29
Remember Tee,9/20/2018,40.5875,36,supreme-Remember-Tee-black,41,50,90,45,17,32,24,32,24,38
Liquid Swords Tee,9/20/2018,46.2724359,44,supreme-Liquid-Swords-Tee-black,107,37,211,55,41,36,58,50,68,37
Eternal Tee,9/20/2018,28.52027027,36,supreme-Eternal-Tee-black,41,27,3,36,13,23,27,29,,
Payphone Tee,9/20/2018,17.72486772,36,supreme-Payphone-Tee-black,35,21,55,19,12,12,9,20,26,16
Faces Tee,9/20/2018,18.8490566,36,supreme-Faces-Tee-black,34,20,68,23,8,15,7,23,16,9
System Tee,9/20/2018,7.930693069,36,supreme-System-Tee-black,8,13,49,9,,,8,9,,
The Killer Trust Tee,10/25/2018,132.9532164,48,supreme-The-Killer-Trust-Tee-black,61,135,104,190,43,75,34,143,48,94
18 & Stormy Tee,11/1/2018,20,40,supreme-18-stormy-tee-white,134,20,,,,,,,,
Chris Cunningham Chihuahua Tee,11/8/2018,18.43269231,44,supreme-Chris-Cunningham-Chihuahua-Tee-black,44,14,74,29,23,11,,,,
Chris Cunningham Rubber Johnny Tee,11/8/2018,7.06557377,44,supreme-Chris-Cunningham-Rubber-Johnny-Tee-black,12,9,54,7,9,-1,,,,
BLESSED DVD + Tee,11/23/2018,38,48,supreme-blessed-tee-white,137,38,,,,,,,,
Supreme®/The North Face® Photo Tee,11/29/2018,51.90664962,54,supreme-the-north-face-photo-tee-black,88,211,456,38,105,19,,,,
Cat in the Hat Tee,12/13/2018,50.26251277,44,supreme-Cat-in-the-Hat-Tee-black,181,53,309,63,64,41,108,44,124,45
Marvin Gaye Tee,12/13/2018,11.58476658,48,supreme-Marvin-Gaye-Tee-black,84,12,96,16,29,13,46,7,56,4
Smile Tee,12/13/2018,54.36470588,36,supreme-Smile-Tee-black,69,54,104,68,24,52,,,32,37
Luden's® Tee,12/13/2018,14.7961165,44,supreme-ludens-tee-black,34,14,51,20,,,,,21,5
Bombay Tee,12/13/2018,14.81605351,36,supreme-Bombay-Tee-black,68,15,92,17,16,11,43,12,28,8
Creeper Tee,2/25/2019,42.45027933,38,supreme-Creeper-Tee-black,165,45,316,58,56,37,82,27,92,25
Christopher Walken King Of New York Tee,2/25/2019,23.52028796,48,supreme-king-of-new-york-tee-black,300,14,525,44,149,13,130,19,150,8
The Real Shit L/S Tee,2/25/2019,44.93814433,40,supreme-the-real-shit-l-s-tee-black,42,48,146,46,,,46,44,12,32
Knot Tee,2/25/2019,15.65538462,38,supreme-Knot-Tee-black,61,16,120,16,,,17,14,,
Fruit Tee,2/25/2019,25.61845387,38,supreme-Fruit-Tee-black,68,29,189,28,15,28,25,16,48,12
Kids Tee,2/25/2019,33.88101983,38,supreme-Kids-Tee-black,61,36,152,41,29,23,30,24,35,20
Fronts Tee,2/25/2019,22.21538462,38,supreme-Fronts-Tee-black,54,23,123,27,34,17,13,27,33,17
Hard Goods Tee,2/25/2019,32.61688312,38,supreme-Hard-Goods-Tee-black,35,32,43,41,10,15,15,33,15,29
Leda And The Swan Tee,2/25/2019,15.40810811,38,supreme-Leda-And-The-Swan-Tee-black,56,16,165,19,22,13,10,17,,
Original Sin Tee,2/25/2019,29.00766284,38,supreme-Original-Sin-Tee-black,29,25,92,25,22,18,17,24,,
Middle Finger To The World Tee,2/25/2019,14.18103448,38,supreme-Middle-Finger-To-The-World-Tee-black,13,24,42,11,11,16,5,14,5,13
Gilbert & George/Supreme LIFE Tee,3/21/2019,26.07142857,48,supreme-gilbert-george-supreme-life-tee-black,77,15,217,30,,,,,,
Gilbert & George/Supreme DEATH Tee,3/21/2019,19.15546218,48,supreme-gilbert-george-supreme-death-tee-black,67,17,171,20,,,,,,
Cupid Tee,4/4/2019,82.15835521,38,supreme-Cupid-Tee-black,275,90,394,103,114,48,91,64,119,49
Who The Fuck Tee,4/4/2019,25.45890411,38,supreme-Who-The-Fuck-Tee-black,139,27,250,27,42,25,68,24,,
Ghost Rider© Tee,4/4/2019,24.31877729,44,supreme-ghost-rider-tee-black,174,21,244,27,,,59,18,70,20
Riders Tee,4/4/2019,20.50104384,38,supreme-Riders-Tee-black,96,22,156,23,47,18,61,23,63,12
The Persistence of Memory Tee,4/4/2019,17.44496124,48,supreme-The-Persistence-of-Memory-Tee-black,153,22,180,19,64,7,49,14,,
Molotov Kid Tee,4/4/2019,21.05095541,38,supreme-Molotov-Kid-Tee-black,106,19,290,24,35,21,49,15,,
Suzie Switchblade Tee,4/4/2019,19.46428571,38,supreme-Suzie-Switchblade-Tee-black,60,20,145,22,26,16,26,16,,
Keyboard Tee,4/4/2019,14.71088435,38,supreme-Keyboard-Tee-black,46,13,148,16,31,11,17,12,27,12
Headline Tee,4/4/2019,18.2556391,38,supreme-Headline-Tee-black,14,19,51,18,10,31,4,14,10,13
Supreme®/Jean Paul Gaultier® Tee,4/11/2019,91.20844327,54,supreme-jean-paul-gaultier-tee-black,1180,98,715,80,,,,,,
Supreme®/Swarovski® Box Logo Tee,4/25/2019,299.2057357,398,supreme-swarovski-box-logo-tee-black,323,355,300,321,179,162,,,,
Buju Banton Tee,6/27/2019,59.75444388,48,supreme-Buju-Banton-Tee-black,824,62,1019,86,323,44,343,50,551,42
Dynamite Tee,6/27/2019,34.50944359,38,supreme-Dynamite-Tee-black,441,35,680,38,197,27,128,30,194,24
Reaper Tee,6/27/2019,21.41532258,44,supreme-Reaper-Tee-black,253,15,474,31,94,13,77,12,,
Buju Banton Wake The World Tee,6/27/2019,30.84143223,44,supreme-Buju-Banton-Wake-The-World-Tee-black,107,34,118,39,37,11,29,22,,
Bela Lugosi Tee,6/27/2019,18.78257576,38,supreme-Bela-Lugosi-Tee-black,262,16,592,23,84,14,75,15,127,15
Greetings Tee,6/27/2019,13.47660312,38,supreme-Greetings-Tee-black,94,14,263,13,42,9,32,10,45,14
Cloud Tee,6/27/2019,20.6751497,38,supreme-Cloud-Tee-black,143,15,251,22,45,13,63,24,,
It Gets Better Every Time Tee,6/27/2019,11.47882136,38,supreme-It-Gets-Better-Every-Time-Tee-black,73,14,232,11,38,10,29,13,,
Shears Tee,6/27/2019,12.38536585,38,supreme-Shears-Tee-black,46,13,80,15,13,6,7,15,17,6
